Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
Município;171488;Nova Olinda;1.048;5;0,48;8.867,08;0;0;40;0;0,00;338,44;3,82
Município;171500;Nova Rosalândia;436;0;0,00;10.234,74;0;0;11;0;0,00;258,22;2,52
Município;171510;Novo Acordo;268;0;0,00;6.172,27;0;0;3;0;0,00;69,09;1,12
Município;171515;Novo Alegre;93;0;0,00;3.987,99;0;0;3;0;0,00;128,64;3,23
Município;171525;Novo Jardim;234;0;0,00;8.596,62;0;0;2;0;0,00;73,48;0,85
Município;171550;Oliveira de Fátima;116;0;0,00;10.431,65;0;0;1;0;0,00;89,93;0,86
Município;172100;Palmas;45.437;99;0,22;15.189,87;0;0;582;1;0,17;194,57;1,28
Município;171570;Palmeirante;495;0;0,00;8.214,40;0;0;8;0;0,00;132,76;1,62
Município;171380;Palmeiras do Tocantins;584;3;0,52;8.771,40;0;0;6;0;0,00;90,12;1,03
Município;171575;Palmeirópolis;1.113;0;0,00;14.531,92;0;0;22;0;0,00;287,24;1,98
Município;171610;Paraíso do Tocantins;7.585;7;0,09;14.799,42;0;0;166;0;0,00;323,89;2,19
Município;171620;Paranã;427;1;0,23;4.086,52;0;0;6;0;0,00;57,42;1,41
Município;171630;Pau D'Arco;389;13;3,46;8.022,27;0;0;7;0;0,00;144,36;1,80
Município;171650;Pedro Afonso;1.938;13;0,68;14.273,09;0;0;28;0;0,00;206,22;1,44
Município;171660;Peixe;917;2;0,22;7.804,92;0;0;19;1;5,56;161,72;2,07
Município;171665;Pequizeiro;535;3;0,56;9.768,12;0;0;9;0;0,00;164,32;1,68
Município;171700;Pindorama do Tocantins;297;2;0,68;6.678,66;0;0;3;0;0,00;67,46;1,01
Município;171720;Piraquê;217;2;0,93;7.166,45;0;0;1;0;0,00;33,03;0,46
Município;171750;Pium;532;0;0,00;6.950,61;0;0;6;0;0,00;78,39;1,13
Município;171780;Ponte Alta do Bom Jesus;362;0;0,00;7.876,41;0;0;6;0;0,00;130,55;1,66
Município;171790;Ponte Alta do Tocantins;971;5;0,52;12.078,62;0;0;13;0;0,00;161,71;1,34
Município;171800;Porto Alegre do Tocantins;133;0;0,00;4.237,02;0;0;2;0;0,00;63,71;1,50
Município;171820;Porto Nacional;9.080;31;0,34;17.128,84;0;0;178;1;0,56;335,79;1,96
Município;171830;Praia Norte;325;0;0,00;3.854,36;0;0;7;0;0,00;83,02;2,15
Município;171840;Presidente Kennedy;318;1;0,32;8.631,92;0;0;7;0;0,00;190,01;2,20
Município;171845;Pugmil;265;0;0,00;9.858,63;0;0;1;0;0,00;37,20;0,38
Município;171850;Recursolândia;311;0;0,00;7.244,35;0;0;6;0;0,00;139,76;1,93
Município;171855;Riachinho;358;-1;-0,28;7.707,21;0;0;5;0;0,00;107,64;1,40
Município;171865;Rio da Conceição;139;0;0,00;6.525,82;0;0;2;0;0,00;93,90;1,44
Município;171870;Rio dos Bois;455;0;0,00;16.055,05;0;0;7;0;0,00;247,00;1,54
Município;171875;Rio Sono;290;0;0,00;4.476,69;0;0;3;0;0,00;46,31;1,03
Município;171880;Sampaio;636;0;0,00;13.500,32;0;0;5;0;0,00;106,13;0,79
Município;171884;Sandolândia;298;0;0,00;8.829,63;0;0;7;0;0,00;207,41;2,35
Município;171886;Santa Fé do Araguaia;774;1;0,13;10.303,51;0;0;12;0;0,00;159,74;1,55
Município;171888;Santa Maria do Tocantins;384;0;0,00;11.182,29;0;0;2;0;0,00;58,24;0,52
Município;171889;Santa Rita do Tocantins;312;13;4,35;13.192,39;0;0;1;0;0,00;42,28;0,32
